i,n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
0,15,500,75,insert,0.05,pmx,0.8,114690.25,138361.75,18.242,96.99600000000001,-23671.5,-17.108413271731536,5.317105815396416
0,15,500,75,insert,0.05,pmx,0.8,114761.25,138361.75,17.255,96.99600000000001,-23600.5,-17.05709851169128,5.621325405486249
0,15,500,75,insert,0.05,pmx,0.8,115242.75,138361.75,17.257,96.99600000000001,-23119.0,-16.70909770944644,5.620492653480607
0,15,500,75,insert,0.05,pmx,0.8,114788.25,138361.75,16.977,96.99600000000001,-23573.5,-17.037584448013988,5.713287379819196
0,15,500,75,insert,0.05,pmx,0.8,115417.25,138361.75,17.020,96.99600000000001,-22944.5,-16.582979038643273,5.698850702041065
0,15,500,75,insert,0.05,pmx,0.8,114746.25,138361.75,18.300,96.99600000000001,-23615.5,-17.067939658178645,5.30014082072921
0,15,500,75,insert,0.05,pmx,0.8,115680.25,138361.75,18.070,96.99600000000001,-22681.5,-16.392897603564563,5.367763823343181
0,15,500,75,insert,0.05,pmx,0.8,115156.75,138361.75,17.217,96.99600000000001,-23205.0,-16.771253615974075,5.633567540094978
0,15,500,75,insert,0.05,pmx,0.8,114700.75,138361.75,16.964,96.99600000000001,-23661.0,-17.10082446919037,5.717679312156075
0,15,500,75,insert,0.05,pmx,0.8,114771.75,138361.75,17.616,96.99600000000001,-23590.0,-17.049509709150115,5.505915750338563
1,15,500,75,insert,0.05,pmx,0.8,167447.5,175300.5,20.126,98.116,-7853.0,-4.479736224369006,4.87499006428147
1,15,500,75,insert,0.05,pmx,0.8,167911.5,175300.5,19.545,98.116,-7389.0,-4.215047874934754,5.0199794389454615
1,15,500,75,insert,0.05,pmx,0.8,167338.0,175300.5,18.169,98.116,-7962.5,-4.54220039303938,5.40018567045546
1,15,500,75,insert,0.05,pmx,0.8,167236.5,175300.5,18.031,98.116,-8064.0,-4.60010096947812,5.441253367761822
1,15,500,75,insert,0.05,pmx,0.8,167490.5,175300.5,18.010,98.116,-7810.0,-4.455206916124027,5.447848021990793
1,15,500,75,insert,0.05,pmx,0.8,167254.5,175300.5,18.031,98.116,-8046.0,-4.58983288695697,5.441268692003242
1,15,500,75,insert,0.05,pmx,0.8,167279.5,175300.5,18.182,98.116,-8021.0,-4.575571661233141,5.396171167615908
1,15,500,75,insert,0.05,pmx,0.8,170994.5,175300.5,18.007,98.116,-4306.0,-2.4563535186722163,5.448686823998903
1,15,500,75,insert,0.05,pmx,0.8,167890.5,175300.5,17.769,98.116,-7410.0,-4.227027304542773,5.521637253380271
1,15,500,75,insert,0.05,pmx,0.8,170178.0,175300.5,17.920,98.116,-5122.5,-2.9221251508124624,5.475014058961296
2,15,500,75,insert,0.05,pmx,0.8,153716.25,181267.25,18.072,98.01799999999999,-27551.0,-15.199105188609636,5.423550168268758
2,15,500,75,insert,0.05,pmx,0.8,153840.25,181267.25,17.990,98.01799999999999,-27427.0,-15.130697905992392,5.448305875039778
2,15,500,75,insert,0.05,pmx,0.8,153743.25,181267.25,17.850,98.01799999999999,-27524.0,-15.18421005449136,5.490992992793892
2,15,500,75,insert,0.05,pmx,0.8,153763.25,181267.25,17.918,98.01799999999999,-27504.0,-15.173176621811166,5.470316160225754
2,15,500,75,insert,0.05,pmx,0.8,154406.25,181267.25,17.935,98.01799999999999,-26861.0,-14.81845176114274,5.46491045583093
2,15,500,75,insert,0.05,pmx,0.8,153960.25,181267.25,17.918,98.01799999999999,-27307.0,-15.06449730991119,5.470361871400886
2,15,500,75,insert,0.05,pmx,0.8,153866.75,181267.25,18.237,98.01799999999999,-27400.5,-15.116078607691136,5.374556089579401
2,15,500,75,insert,0.05,pmx,0.8,153848.75,181267.25,18.221,98.01799999999999,-27418.5,-15.126008697103316,5.379152893131796
2,15,500,75,insert,0.05,pmx,0.8,154896.75,181267.25,18.371,98.01799999999999,-26370.5,-14.547856824660826,5.335328481516206
2,15,500,75,insert,0.05,pmx,0.8,153736.75,181267.25,18.709,98.01799999999999,-27530.5,-15.187795920112436,5.239053053420712
3,15,500,75,insert,0.05,pmx,0.8,136084.0,145168.5,18.072,98.19,-9084.5,-6.2579003020627795,5.433196607571277
3,15,500,75,insert,0.05,pmx,0.8,137603.5,145168.5,17.368,98.19,-7565.0,-5.2111856222252015,5.653360213600608
3,15,500,75,insert,0.05,pmx,0.8,136908.0,145168.5,17.752,98.19,-8260.5,-5.6902840492255535,5.531099859510107
3,15,500,75,insert,0.05,pmx,0.8,137110.0,145168.5,18.618,98.19,-8058.5,-5.551135404719346,5.2738475396894
3,15,500,75,insert,0.05,pmx,0.8,136208.0,145168.5,17.473,98.19,-8960.5,-6.172482322266887,5.619494666614289
3,15,500,75,insert,0.05,pmx,0.8,136012.0,145168.5,17.431,98.19,-9156.5,-6.3074978387184615,5.6330230687406315
3,15,500,75,insert,0.05,pmx,0.8,136091.5,145168.5,18.105,98.19,-9077.0,-6.252733891994481,5.423140818210244
3,15,500,75,insert,0.05,pmx,0.8,135962.5,145168.5,18.220,98.19,-9206.0,-6.341596145169234,5.389102559821267
3,15,500,75,insert,0.05,pmx,0.8,136364.5,145168.5,19.290,98.19,-8804.0,-6.064676565508364,5.09003264149384
3,15,500,75,insert,0.05,pmx,0.8,135873.5,145168.5,19.484,98.19,-9295.0,-6.402904211313057,5.03928732624811
